Common Name,AR,ARX,ATN1,CACNA1A,COMP,FOXL2,HOXA13,JPH3,NIPA1,PABPN1,PHOX2B,PRDM12,RUNX2,SOX3,TBP,TBX1,ZIC2
Rio pearlfish,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Royal penguin,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Rufous potoo,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ryukyu mouse,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Saccoglossus kowalevskii,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Sagittarius serpentarius,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Siamese fighting fish,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Silurus meridionalis,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Simochromis diagramma,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Snares penguin,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Southern elephant seal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Steller sea lion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Stercorarius parasiticus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Styela clava,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Stylophora pistillata,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Sula dactylatra,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Sumatran orangutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Takifugu bimaculatus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tasmanian devil,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
Thamnophis sirtalis,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tiger rattlesnake,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ugandan red Colobus,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Upper Galilee mountains blind mole rat,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Wedge-rumped storm-petrel,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Western terrestrial garter snake,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
White-collared manakin,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
White-ruffed manakin,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
White-tailed tropicbird,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Whooping crane,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Wilson's storm-petrel,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Wire-tailed manakin,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Wuchang bream,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Xingu scale-backed antbird,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Yangtze River dolphin,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Zebrafish,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
allis shad,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
amphioxus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
australian brush-turkey,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
banner-tailed kangaroo rat,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
bar-tailed trogon,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
black bullhead,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
black hawk-eagle,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
black swan,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
black-chested snake-eagle,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
black-faced sheathbill,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
black-legged kittiwake,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
black-lipped pika,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
black-tailed trogon,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
black-winged stilt,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
blackstripe livebearer,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
blue catfish,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
blue tit,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
blue-crowned manakin,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
blue-fronted amazon,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bluefin notho,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
boat-billed heron,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
brook trout,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
brown bear,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
brown-hooded gull,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
budgerigar,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
burrowing owl,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
carmine bee-eater,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
channel catfish,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cheetah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
chimney swift,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
chinstrap penguin,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
chuck-will's-widow,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
chum salmon,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cinereus shrew,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
climbing perch,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
coho salmon,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
common brushtail,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
common murre,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
common scimitar-bill,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
common swift,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
common wombat,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
copperband butterflyfish,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
crown-of-thorns starfish,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cuckoo roller,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
denticle herring,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
dog,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
domestic cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
domestic ferret,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
domestic guinea pig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
dwarf seahorse,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
eastern oyster,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
electric eel,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
elegant crested-tinamou,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
emerald rockcod,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
emperor penguin,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ermine,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
fat sand rat,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
fathead minnow,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ferruginous pygmy-owl,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
fishing cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
galah,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
giant moray,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
